index,x,y,z
15653,-50.0444,-40.9463,5.6571,
12316,-8.03437,-79.0969,1.38775,
12005,0.803454,-80.7597,1.40974,
13942,-20.8666,-38.0505,2.27431,
14161,-20.3943,-33.2544,0.680923,
13825,-17.6186,-34.3559,0.673942,
15040,-25.9235,-28.093,0.66724,
14327,-20.679,-30.9833,0.650207,
14312,-19.0092,-28.698,0.600851,
13853,-15.9259,-30.6456,-0.602841,
14959,-19.746,-22.2327,-0.519035,
14975,-19.7395,-22.0697,-0.516836,
15104,-19.9716,-21.0457,0.506434,
15767,-21.1171,-16.386,6.17086,
14791,-16.9962,-20.5961,1.39946,
12386,-9.17293,-74.7075,1.31382,
12040,-0.276356,-71.9725,1.25629,
12023,0.222458,-70.8105,3.71104,
12115,-2.04476,-64.3497,1.1238,
12123,-2.23638,-63.4069,1.10746,
12651,-11.9654,-61.7294,1.09755,
12621,-11.3963,-60.9544,1.0824,
12038,-0.130155,-62.1444,-1.08474,
12048,-0.358685,-62.2755,-1.08704,
12080,-1.01163,-55.1959,4.82982,
12053,-0.433106,-55.1437,4.82459,
12236,-3.99524,-53.8897,4.72768,
12384,-5.82814,-48.0908,-0.845569,
12318,-4.99923,-49.0462,2.58372,
12756,-9.01155,-40.9188,5.14459,
13568,-13.8745,-31.7122,5.4824,
12902,-9.01273,-34.8747,-0.62874,
12970,-9.47017,-34.3344,4.37316,
12800,-7.89035,-34.0683,5.53872,
12374,-5.01389,-41.9233,2.21276,
12388,-4.99641,-40.5754,2.14253,
12515,-6.20545,-39.0913,3.46287,
12287,-3.75833,-41.0589,3.6072,
12567,-6.55747,-37.9242,3.36717,
12464,-4.96723,-34.2163,5.47614,
13293,-10.227,-28.2981,-0.525213,
12899,-7.92409,-30.7065,6.16428,
13353,-9.90253,-26.096,1.46279,
13537,-10.9876,-25.6112,4.41395,
13495,-10.019,-24.0455,4.1258,
12616,-5.01044,-27.0867,-1.44363,
12632,-5.10496,-27.069,-1.44363,
11828,2.66036,-31.2239,-1.6423,
11857,2.70407,-36.3019,-0.635407,
11865,2.55857,-36.136,-0.632336,
11893,2.18877,-36.0962,-0.631219,
11902,2.07249,-36.4976,-0.638095,
11559,6.37631,-38.0218,3.37293,
11549,6.3833,-37.3439,4.65175,
11375,9.32705,-43.4328,2.32811,
10715,15.2204,-38.4229,-0.721378,
11681,3.15075,-23.997,4.70459,
11384,5.77663,-27.1071,-0.483781,
11260,7.10731,-29.0671,0.522316,
11299,5.9776,-25.4257,6.03004,
11738,2.38853,-21.0948,4.90123,
11316,4.84305,-20.9609,5.76442,
11740,1.9308,-17.0789,4.60543,
11840,1.35164,-16.6538,4.47705,
11562,3.08625,-18.4625,2.96475,
11147,4.99625,-18.1388,5.04128,
11224,5.60783,-22.0647,3.60581,
12217,-5.01789,-73.9857,11.7451,
12419,-7.77558,-59.0614,13.7531,
12440,-7.76984,-56.1381,11.0162,
12360,-7.02024,-61.4252,16.566,
13587,-14.0218,-31.7166,8.00601,
13126,-10.0246,-31.4303,7.61639,
12587,-6.03122,-33.9277,7.95562,
13663,-14.0111,-30.2811,6.4856,
12933,-8.13776,-30.6054,8.48564,
